Name,Rating,Color,Rarity,Notes
Brave-Kin Duo,D+,W,C,
Crumb and Get It,C,W,C,
Carrot Cake,D,W,C,
Lifecreed Duo,C+,W,C,
Nettle Guard,C-,W,C,
Sonar Strike,C-,W,C,
Warren Elder,C+,W,C,
Banishing Light,B,W,C,
Intrepid Rabbit,D+,W,C,
Thistledown Players,C-,W,C,
Rabbit Response,B-,W,C,
Wax-Wane Witness,D+,W,C,
Pileated Provisioner,C-,W,C,
Flowerfoot Swordmaster,C+,W,U,
Seasoned Warrenguard,C,W,U,
Brightblade Stoat,C+,W,U,
Builder's Talent,C-,W,U,
Lupinflower Village,C+,W,U,
Feather of Flight,C-,W,U,
Jolly Gerbils,C-,W,U,
Mabel's Mettle,D+,W,U,
Parting Gust,D+,W,U,
Repel Calamity,C-,W,U,
Dewdrop Cure,C+,W,U,
Harvestrite Host,C+,W,U,
Hop to It,B-,W,U,
Mouse Trapper,C-,W,U,
Shrike Force,C+,W,U,
Star Charter,C-,W,U,
Driftgloom Coyote,C,W,U,
Dawn's Truce,C+,W,R,
Essence Channeler,B+,W,R,
Valley Questcaller,B,W,R,
Caretaker's Talent,C,W,R,
Jackdaw Savior,B,W,R,
Salvation Swan,B-,W,R,
Whiskervale Forerunner,B+,W,R,
Starfall Invocation,A+,W,R,
"Beza, the Bounding Spring",A-,W,M,
Warren Warleader,A-,W,M,
Season of the Burrow,B,W,M,
Shore Up,C+,U,C,
Bellowing Crier,C-,U,C,
Dazzling Denial,C+,U,C,
Run Away Together,D,U,C,
Thought Shucker,D,U,C,
Finch Formation,C+,U,C,
Nightwhorl Hermit,D-,U,C,
Pearl of Wisdom,C-,U,C,
Waterspout Warden,C,U,C,
Dire Downdraft,C,U,C,
Lightshell Duo,C+,U,C,
Mind Spiral,D+,U,C,
Skyskipper Duo,D,U,C,
Lilypad Village,C+,U,U,
Into the Flood Maw,B-,U,U,
Splash Portal,C-,U,U,
Gossip's Talent,D+,U,U,
Long River's Pull,C+,U,U,
Otterball Antics,C-,U,U,
Plumecreed Escort,C,U,U,
Shoreline Looter,C+,U,U,
Mindwhisker,B,U,U,
Long River Lurker,C+,U,U,
Sugar Coat,C+,U,U,
Spellgyre,D+,U,U,
Splash Lasher,C+,U,U,
Knightfisher,C,U,U,
Calamitous Tide,C,U,U,
Daring Waverider,C+,U,U,
Eddymurk Crab,C,U,U,
Mockingbird,C+,U,R,
Portent of Calamity,C-,U,R,
Stormchaser's Talent,D+,U,R,
Azure Beastbinder,B,U,R,
Dour Port-Mage,B-,U,R,
Thundertrap Trainer,B+,U,R,
Valley Floodcaller,B+,U,R,
Kitnap,C+,U,R,
Wishing Well,G,U,R,
"Kitsa, Otterball Elite",B-,U,M,
"Eluge, the Shoreless Sea",C+,U,M,
Season of Weaving,B+,U,M,
Ravine Raider,D,B,C,
Agate-Blade Assassin,D,B,C,
Bonebind Orator,D+,B,C,
Savor,C,B,C,
Daggerfang Duo,C,B,C,
Diresight,C-,B,C,
Nocturnal Hunger,C+,B,C,
Psychic Whorl,D+,B,C,
Scales of Shale,C-,B,C,
Starlit Soothsayer,D+,B,C,
Thornplate Intimidator,C,B,C,
Early Winter,C-,B,C,
Glidedive Duo,D+,B,C,
Mudflat Village,C+,B,U,
Bonecache Overseer,G,B,U,
Ruthless Negotiation,D+,B,U,
Bandit's Talent,C+,B,U,
Feed the Cycle,B,B,U,
Fell,B-,B,U,
Persistent Marshstalker,C,B,U,
Stargaze,C,B,U,
Starscape Cleric,C-,B,U,
Consumed by Greed,B-,B,U,
Moonstone Harbinger,C-,B,U,
Thought-Stalker Warlock,C+,B,U,
Downwind Ambusher,C+,B,U,
Hazel's Nocturne,C,B,U,
Sinister Monolith,D-,B,U,
Wick's Patrol,C-,B,U,
Huskburster Swarm,C,B,U,
Iridescent Vinelasher,B,B,R,
Scavenger's Talent,C,B,R,
Cruelclaw's Heist,C,B,R,
Osteomancer Adept,B,B,R,
Valley Rotcaller,A-,B,R,
Darkstar Augur,B-,B,R,
"Wick, the Whorled Mind",B+,B,R,
Coiling Rebirth,B-,B,R,
"Maha, Its Feathers Night",A,B,M,
Season of Loss,A-,B,M,
Rottenmouth Viper,B+,B,M,
Might of the Meek,D,R,C,
War Squeak,D+,R,C,
Raccoon Rallier,D+,R,C,
Sazacap's Brew,C-,R,C,
